system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,class,.geo
118_0,0.17955,0.08205,0.0352,0.06865,0.0331,0.4548,-0.43391183,0.8638875,-0.73738253,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,0.2741,0.17365,0.04845,0.07315,0.05965,0.2868,0.014621192,0.63382554,-0.5692807,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,0.1982,0.102,0.0424,0.07835,0.0477,0.37080002,-0.30207455,0.7654281,-0.6697663,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,0.2458,0.14305,0.05085,0.085,0.058,0.4036,-0.24764352,0.7492452,-0.65180194,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,0.20815,0.11065,0.04165,0.07465,0.04845,0.35945,-0.26510373,0.7624264,-0.6381365,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,0.2041,0.1076,0.0394,0.06095,0.04545,0.32895,-0.22558823,0.75561136,-0.68676853,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,0.23915,0.1322,0.05015,0.0814,0.0743,0.2733,-0.073154576,0.54247266,-0.5409606,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,0.17795,0.09275,0.0405,0.0576,0.041,0.294,-0.2631005,0.75782156,-0.6903951,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,0.15375,0.07025,0.0312,0.0508,0.03245,0.3582,-0.39010736,0.833866,-0.7396836,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,0.2019,0.1064,0.03855,0.0656,0.0404,0.34395,-0.2531377,0.7897608,-0.6775876,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,0.162,0.08345,0.0327,0.0601,0.03455,0.37199998,-0.39285526,0.81649125,-0.7214038,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,0.24465,0.12445,0.0452,0.0741,0.0545,0.35995,-0.19441693,0.73263246,-0.64894664,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,0.2127,0.1061,0.03885,0.0701,0.04615,0.3504,-0.24373367,0.76908684,-0.6598313,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,0.2247,0.1099,0.0366,0.0731,0.0331,0.4154,-0.29975832,0.85640293,-0.7055806,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,0.27475,0.17865,0.06005,0.0864,0.087,0.2819,-0.015625019,0.51246846,-0.51949334,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,0.21715,0.12655,0.0424,0.0801,0.0474,0.3659,-0.2527378,0.7619791,-0.6369538,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,0.27245,0.17145,0.0514,0.0791,0.07455,0.3067,-0.04479412,0.60721266,-0.5742038,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,0.24725,0.1475,0.05335,0.08765,0.07875,0.3544,-0.15963699,0.599819,-0.5552395,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,0.1786,0.0908,0.04105,0.06205,0.0403,0.34100002,-0.31055635,0.7878238,-0.69209737,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,0.2751,0.1722,0.0643,0.0945,0.10095,0.33275002,-0.06016423,0.51990455,-0.53280514,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,0.16865,0.07075,0.03125,0.05045,0.03165,0.39679998,-0.40341723,0.85092103,-0.7711826,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,0.24835,0.13935,0.0475,0.08065,0.0611,0.3378,-0.15019245,0.6927366,-0.6142278,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,0.1751,0.07605,0.0294,0.0512,0.03,0.3998,-0.37885776,0.86495805,-0.7818673,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,0.17825,0.0948,0.0424,0.0697,0.04395,0.31695002,-0.2764195,0.756469,-0.6293939,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,0.21385,0.1006,0.03915,0.0654,0.0416,0.393,-0.3407633,0.80245763,-0.7084367,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,0.1779,0.09115,0.04095,0.0564,0.03835,0.38230002,-0.36322698,0.82018256,-0.74628633,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,0.20885,0.1139,0.04265,0.0578,0.0406,0.3503,-0.2525093,0.7913922,-0.71852165,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,0.18205,0.0854,0.03675,0.0539,0.033,0.43495,-0.40988684,0.85895985,-0.77980924,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,0.1915,0.0894,0.0348,0.0588,0.0292,0.4441,-0.40072542,0.87913907,-0.77067083,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,0.1993,0.108,0.0379,0.0592,0.0366,0.3572,-0.28579107,0.81411886,-0.7186312,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,0.2004,0.1203,0.047,0.0712,0.0526,0.3125,-0.20909989,0.7063093,-0.6220807,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,0.2894,0.1835,0.0641,0.096,0.0942,0.3328,-0.039009884,0.5047706,-0.5298439,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,0.2354,0.1331,0.0443,0.0784,0.0536,0.356,-0.20624682,0.73828125,-0.6390424,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,0.1845,0.0883,0.0309,0.0514,0.0299,0.3602,-0.32268724,0.846706,-0.7393193,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,0.1969,0.1103,0.0444,0.0766,0.0576,0.3209,-0.19943076,0.6732842,-0.59584177,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,0.2074,0.0985,0.0352,0.0586,0.0359,0.4092,-0.32924664,0.83843386,-0.75372976,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,0.2226,0.1415,0.049,0.0723,0.0652,0.3026,-0.15408085,0.6454595,-0.61429715,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,0.2991,0.1986,0.0612,0.093,0.1021,0.3344,0.0010040137,0.4902646,-0.5251468,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,0.2041,0.1072,0.0376,0.0701,0.0481,0.384,-0.30590037,0.77736634,-0.6912574,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,0.2329,0.1341,0.0378,0.0696,0.0418,0.4223,-0.29258698,0.82097185,-0.70968413,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,0.221,0.1349,0.0476,0.071,0.0592,0.3055,-0.16049382,0.6757053,-0.62324226,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,0.1852,0.0849,0.0354,0.0552,0.0344,0.3948,-0.33939168,0.8306717,-0.7511033,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,0.1935,0.0932,0.041,0.0758,0.043,0.3792,-0.3074593,0.79430455,-0.66549295,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,0.1985,0.0952,0.0371,0.065,0.0377,0.3355,-0.28636095,0.81015456,-0.69678086,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,0.2209,0.1157,0.0328,0.0612,0.0259,0.4231,-0.31397516,0.88719785,-0.76,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,0.2143,0.1297,0.0433,0.0738,0.0756,0.2441,-0.07651363,0.55015975,-0.5856209,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
